Player,Team,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
K Rabada (GT),GT,2026-2026,17,17,388,64.4,1,626,29,Mar-25,21.58,9.68,13.37,0,0
B Kumar (RCB),RCB,2026-2026,16,16,378,63,0,501,28,Apr-23,17.89,7.95,13.5,1,0
JC Archer (RR),RR,2026-2026,16,16,360,60,1,559,25,Mar-17,22.36,9.31,14.4,0,0
Rashid Khan (GT),GT,2026-2026,17,17,341,56.5,0,516,21,Apr-33,24.57,9.07,16.23,1,0
A Kamboj (CSK),CSK,2026-2026,14,14,302,50.2,0,530,21,Mar-22,25.23,10.52,14.38,0,0
E Malinga (SRH),SRH,2026-2026,15,15,326,54.2,0,507,20,Apr-32,25.35,9.33,16.3,1,0
Mohammed Siraj (GT),GT,2026-2026,17,17,372,62,1,562,19,Mar-26,29.57,9.06,19.57,0,0
Rasikh Salam (RCB),RCB,2026-2026,12,12,257,42.5,1,405,19,Apr-24,21.31,9.45,13.52,1,0
Kartik Tyagi (KKR),KKR,2026-2026,14,13,306,51,0,498,18,Mar-22,27.66,9.76,17,0,0
JO Holder (GT),GT,2026-2026,11,11,230,38.2,0,290,17,Apr-24,17.05,7.56,13.52,1,0
Prince Yadav (LSG),LSG,2026-2026,14,14,312,52,0,459,16,Mar-32,28.68,8.82,19.5,0,0
M Prasidh Krishna (GT),GT,2026-2026,12,12,234,39,0,407,16,Apr-28,25.43,10.43,14.62,1,0
SP Narine (KKR),KKR,2026-2026,13,13,306,51,0,339,15,Feb-26,22.6,6.64,20.4,0,0
Sakib Hussain (SRH),SRH,2026-2026,11,11,252,42,0,397,15,Apr-24,26.46,9.45,16.8,1,0
JR Hazlewood (RCB),RCB,2026-2026,13,13,309,51.3,0,494,15,04-Dec,32.93,9.59,20.6,1,0
AM Ghazanfar (MI),MI,2026-2026,11,11,233,38.5,0,389,15,Feb-17,25.93,10.01,15.53,0,0
KH Pandya (RCB),RCB,2026-2026,16,15,303,50.3,0,425,14,Feb-16,30.35,8.41,21.64,0,0
J Overton (CSK),CSK,2026-2026,10,10,168,28,0,249,14,Apr-18,17.78,8.89,12,1,0
Brijesh Sharma (RR),RR,2026-2026,13,13,273,45.3,0,450,14,Feb-18,32.14,9.89,19.5,0,0
N Burger (RR),RR,2026-2026,13,13,261,43.3,0,440,14,Feb-21,31.42,10.11,18.64,0,0
Arshdeep Singh (PBKS),PBKS,2026-2026,14,14,318,53,0,541,14,Mar-22,38.64,10.2,22.71,0,0
